UD_-_DSS-UD,p_value,effect
valid_rate,0.431640625,0.62
n_valid,0.3738398566319153,0.65
fmap_cov,0.48330324160257043,0.58
fmap_s,0.375,0.735
fmap_fs,0.375,0.735
avg_euclid,0.375,0.31
