DB_-_DSS-UD,p_value,effect
valid_rate,0.001953125,1.0
n_valid,0.08583095844428565,0.63
fmap_cov,0.17552335081205495,0.56
fmap_s,0.44126813332892967,0.595
fmap_fs,0.44126813332892967,0.595
avg_euclid,0.322265625,0.33
