run,valid_rate,n_valid,fmap_cov,fmap_s,fmap_fs,avg_euclid
1,0.566667,17.000000,0.090000,3.000000,3.000000,0.899912
2,0.518519,14.000000,0.100000,3.666667,3.666667,1.135806
3,0.909091,20.000000,0.140000,3.351648,3.351648,0.998670
4,0.739130,17.000000,0.080000,2.321429,2.321429,0.783122
5,0.708333,17.000000,0.070000,2.952381,2.952381,0.780553
6,0.516129,16.000000,0.100000,3.777778,3.777778,0.981782
7,0.375000,6.000000,0.050000,2.600000,2.600000,0.803430
8,0.333333,5.000000,0.040000,2.333333,2.333333,1.074866
9,0.600000,6.000000,0.040000,2.166667,2.166667,0.628529
10,0.333333,4.000000,0.030000,3.333333,3.333333,0.870528
avg,0.559954,12.200000,0.074000,2.950324,2.950324,0.895720
std,0.178389,5.861740,0.032924,0.549644,0.549644,0.146370
