run,valid_rate,n_valid,fmap_cov,fmap_s,fmap_fs,avg_euclid
1,0.638889,23.000000,0.100000,3.777778,3.777778,0.925360
2,0.838710,26.000000,0.120000,4.000000,4.000000,0.737512
3,0.636364,7.000000,0.030000,2.000000,2.000000,0.664943
4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.666667,14.000000,0.070000,3.238095,3.238095,0.680399
6,0.628571,22.000000,0.130000,3.589744,3.589744,0.710370
7,1.000000,14.000000,0.060000,3.000000,3.000000,0.662192
8,0.285714,2.000000,0.020000,1.000000,1.000000,1.166243
9,0.800000,8.000000,0.040000,3.166667,3.166667,0.426385
10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
avg,0.549491,11.600000,0.057000,2.377228,2.377228,0.597340
std,0.325322,9.232551,0.044956,1.454605,1.454605,0.349600
