run,valid_rate,n_valid,fmap_cov,fmap_s,fmap_fs,avg_euclid
1,0.033333,2.000000,0.020000,6.000000,6.000000,1.593936
2,0.743590,29.000000,0.110000,4.181818,4.181818,0.820139
3,0.344828,20.000000,0.090000,3.777778,3.777778,0.678050
4,0.538462,21.000000,0.080000,3.000000,3.000000,0.704238
5,0.642857,27.000000,0.110000,3.672727,3.672727,0.866890
6,0.500000,17.000000,0.080000,3.000000,3.000000,0.720388
7,0.156250,5.000000,0.020000,1.000000,1.000000,0.780278
8,0.413043,19.000000,0.080000,3.000000,3.000000,0.561173
9,0.750000,42.000000,0.170000,5.573529,5.573529,0.865203
10,0.512821,20.000000,0.090000,3.333333,3.333333,0.532530
avg,0.463518,20.200000,0.085000,3.653919,3.653919,0.812283
std,0.223195,10.833282,0.041292,1.338367,1.338367,0.282366
