run,valid_rate,n_valid,fmap_cov,fmap_s,fmap_fs,avg_euclid
0,0.712142,36.000000,0.120000,4.666666,4.536364,0.769039
1,0.674419,29.000000,0.110000,4.000000,4.000000,0.714204
2,0.864865,32.000000,0.120000,4.636364,4.636364,0.869039
3,0.757576,25.000000,0.120000,4.015152,4.015152,0.867927
4,0.200000,3.000000,0.010000,0.000000,0.000000,0.241473
5,0.896552,26.000000,0.100000,3.666667,3.666667,0.731609
6,0.280000,7.000000,0.040000,3.333333,3.333333,0.742471
7,0.812500,26.000000,0.120000,4.409091,4.409091,0.821613
8,0.423077,11.000000,0.060000,2.466667,2.466667,0.806199
9,0.333333,14.000000,0.070000,3.238095,3.238095,0.891612
avg,0.582480,19.222222,0.083333,3.307263,3.307263,0.742905
std,0.257266,9.952976,0.038006,1.322487,1.322487,0.187451
